date,land
1/1/70,1780520
1/1/71,1778170
1/1/72,1779460
1/1/73,1787510
1/1/74,1792820
1/1/75,1796940
1/1/76,1796490
1/1/77,1795910
1/1/78,1805920
1/1/79,1805800
1/1/80,1802720
1/1/81,1804010
1/1/82,1807710
1/1/83,1804620
1/1/84,1814520
1/1/85,1813400
1/1/86,1811920
1/1/87,1815430
1/1/88,1810910
1/1/89,1815010
1/1/90,1814130
1/1/91,1815860
1/1/92,1813050
1/1/93,1813820
1/1/94,1812910
1/1/95,1809450
1/1/96,1805890
1/1/97,1809810
1/1/98,1808740
1/1/99,1810210
1/1/00,1809750
1/1/01,1804870
1/1/02,1805600
1/1/03,1802490
1/1/04,1803750
1/1/05,1801260
1/1/06,1799060
1/1/07,1796200
1/1/08,1797570
1/1/09,1800680
1/1/10,1795730
1/1/11,1796700
1/1/12,1796420
1/1/13,1802800
1/1/14,1802800
1/1/15,1802800